2019-02-27 16:22:57 status unpacked libpam0g:i386 1.1.8-3.2ubuntu2
2019-02-27 16:22:57 status unpacked libpam0g:i386 1.1.8-3.2ubuntu2
2019-02-27 16:22:57 install libpcre3:i386 <none> 2:8.38-3.1
2019-02-27 16:22:57 status half-installed libpcre3:i386 2:8.38-3.1
2019-02-27 16:22:57 status unpacked libpcre3:i386 2:8.38-3.1
2019-02-27 16:22:57 status unpacked libpcre3:i386 2:8.38-3.1
2019-02-27 16:22:57 install libprocps4:i386 <none> 2:3.3.10-4ubuntu2
2019-02-27 16:22:57 status half-installed libprocps4:i386 2:3.3.10-4ubuntu2
2019-02-27 16:22:57 status unpacked libprocps4:i386 2:3.3.10-4ubuntu2
2019-02-27 16:22:57 status unpacked libprocps4:i386 2:3.3.10-4ubuntu2
2019-02-27 16:22:57 install libseccomp2:i386 <none> 2.2.3-3ubuntu3
2019-02-27 16:22:57 status half-installed libseccomp2:i386 2.2.3-3ubuntu3
2019-02-27 16:22:57 status unpacked libseccomp2:i386 2.2.3-3ubuntu3
2019-02-27 16:22:57 status unpacked libseccomp2:i386 2.2.3-3ubuntu3
2019-02-27 16:22:57 install libselinux1:i386 <none> 2.4-3build2
2019-02-27 16:22:57 status half-installed libselinux1:i386 2.4-3build2
2019-02-27 16:22:57 status unpacked libselinux1:i386 2.4-3build2
2019-02-27 16:22:57 status unpacked libselinux1:i386 2.4-3build2
2019-02-27 16:22:57 install libsemanage-common:all <none> 2.3-1build3
2019-02-27 16:22:57 status half-installed libsemanage-common:all 2.3-1build3
2019-02-27 16:22:57 status unpacked libsemanage-common:all 2.3-1build3
2019-02-27 16:22:57 status unpacked libsemanage-common:all 2.3-1build3
2019-02-27 16:22:57 install libsemanage1:i386 <none> 2.3-1build3
2019-02-27 16:22:57 status half-installed libsemanage1:i386 2.3-1build3
2019-02-27 16:22:57 status unpacked libsemanage1:i386 2.3-1build3
2019-02-27 16:22:57 status unpacked libsemanage1:i386 2.3-1build3
2019-02-27 16:22:57 install libsepol1:i386 <none> 2.4-2
2019-02-27 16:22:57 status half-installed libsepol1:i386 2.4-2
2019-02-27 16:22:57 status unpacked libsepol1:i386 2.4-2
2019-02-27 16:22:57 status unpacked libsepol1:i386 2.4-2
2019-02-27 16:22:57 install libsmartcols1:i386 <none> 2.27.1-6ubuntu3
2019-02-27 16:22:57 status half-installed libsmartcols1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:57 status unpacked libsmartcols1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:57 status unpacked libsmartcols1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:57 install libss2:i386 <none> 1.42.13-1ubuntu1
2019-02-27 16:22:57 status half-installed libss2:i386 1.42.13-1ubuntu1
2019-02-27 16:22:57 status unpacked libss2:i386 1.42.13-1ubuntu1
2019-02-27 16:22:57 status unpacked libss2:i386 1.42.13-1ubuntu1
2019-02-27 16:22:57 install libsystemd0:i386 <none> 229-4ubuntu4
2019-02-27 16:22:57 status half-installed libsystemd0:i386 229-4ubuntu4
2019-02-27 16:22:57 status unpacked libsystemd0:i386 229-4ubuntu4
2019-02-27 16:22:57 status unpacked libsystemd0:i386 229-4ubuntu4
2019-02-27 16:22:57 install libtinfo5:i386 <none> 6.0+20160213-1ubuntu1
2019-02-27 16:22:57 status half-installed libtinfo5:i386 6.0+20160213-1ubuntu1
2019-02-27 16:22:57 status unpacked libtinfo5:i386 6.0+20160213-1ubuntu1
2019-02-27 16:22:57 status unpacked libtinfo5:i386 6.0+20160213-1ubuntu1
2019-02-27 16:22:57 install libudev1:i386 <none> 229-4ubuntu4
2019-02-27 16:22:57 status half-installed libudev1:i386 229-4ubuntu4
2019-02-27 16:22:57 status unpacked libudev1:i386 229-4ubuntu4
2019-02-27 16:22:57 status unpacked libudev1:i386 229-4ubuntu4
2019-02-27 16:22:57 install libustr-1.0-1:i386 <none> 1.0.4-5
2019-02-27 16:22:57 status half-installed libustr-1.0-1:i386 1.0.4-5
2019-02-27 16:22:57 status unpacked libustr-1.0-1:i386 1.0.4-5
2019-02-27 16:22:57 status unpacked libustr-1.0-1:i386 1.0.4-5
2019-02-27 16:22:57 install libuuid1:i386 <none> 2.27.1-6ubuntu3
2019-02-27 16:22:57 status half-installed libuuid1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:57 status unpacked libuuid1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:57 status unpacked libuuid1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:57 install locales:all <none> 2.23-0ubuntu3
2019-02-27 16:22:57 status half-installed locales:all 2.23-0ubuntu3
